city,state_id,state_name,pop_urb,pop_mun
Anchorage,AK,Alaska,253421,294356
Auburn,AL,Alabama,89577,63973
Birmingham,AL,Alabama,744189,210710
Decatur,AL,Alabama,68816,54405
Dothan,AL,Alabama,71620,68202
Hoover,AL,Alabama,84920,84920
Huntsville,AL,Alabama,309716,194585
Mobile,AL,Alabama,318084,190265
Montgomery,AL,Alabama,255908,199518
Tuscaloosa,AL,Alabama,154204,100287
Conway,AR,Arkansas,72894,65782
Fayetteville,AR,Arkansas,341890,85257
Fort Smith,AR,Arkansas,125562,88037
Jonesboro,AR,Arkansas,73788,75866
Little Rock,AR,Arkansas,442699,198606
North Little Rock,AR,Arkansas,65911,65911
Rogers,AR,Arkansas,66430,66430
Springdale,AR,Arkansas,79599,79599
Avondale,AZ,Arizona,217192,84025
Buckeye,AZ,Arizona,68453,68453
Casa Grande,AZ,Arizona,58632,55477
Chandler,AZ,Arizona,253458,253458
Flagstaff,AZ,Arizona,78628,71975
Gilbert,AZ,Arizona,242354,242354
Glendale,AZ,Arizona,246709,246709
Goodyear,AZ,Arizona,79858,79858
Lake Havasu City,AZ,Arizona,55341,54411
Mesa,AZ,Arizona,496401,496401
Peoria,AZ,Arizona,168181,168181
Phoenix,AZ,Arizona,4081849,1626078
Scottsdale,AZ,Arizona,249950,249950
Surprise,AZ,Arizona,134085,134085
Tempe,AZ,Arizona,185038,185038
Tucson,AZ,Arizona,868391,535677
Yuma,AZ,Arizona,138802,95502
Alameda,CA,California,79177,79177
Alhambra,CA,California,85396,85396
Aliso Viejo,CA,California,51671,51671
Anaheim,CA,California,352497,352497
Antioch,CA,California,302885,111674
Apple Valley,CA,California,73077,73077
Arcadia,CA,California,58799,58799
Bakersfield,CA,California,574362,380874
Baldwin Park,CA,California,76402,76402
Bellflower,CA,California,77772,77772
Berkeley,CA,California,122324,122324
Brentwood,CA,California,62433,62433
Buena Park,CA,California,83015,83015
Burbank,CA,California,104834,104834
Camarillo,CA,California,74682,67845
Carlsbad,CA,California,115330,115330
Carson,CA,California,92735,92735
Cathedral City,CA,California,54596,54596
Cerritos,CA,California,51020,51020
Chico,CA,California,106268,93293
Chino,CA,California,89797,89797
Chino Hills,CA,California,80374,80374
Chula Vista,CA,California,270471,270471
Citrus Heights,CA,California,87931,87931
Clovis,CA,California,109691,109691
Colton,CA,California,54828,54828
Compton,CA,California,97612,97612
Concord,CA,California,654770,129783
Corona,CA,California,167836,167836
Costa Mesa,CA,California,113825,113825
Cupertino,CA,California,60777,60777
Daly City,CA,California,107074,107074
Davis,CA,California,76524,68986
Delano,CA,California,54471,53138
Diamond Bar,CA,California,56665,56665
Downey,CA,California,113092,113092
Dublin,CA,California,60939,60939
Eastvale,CA,California,63211,63211
El Cajon,CA,California,103894,103894
El Monte,CA,California,116109,116109
Elk Grove,CA,California,171844,171844
Encinitas,CA,California,63184,63184
Escondido,CA,California,151969,151969
Fairfield,CA,California,147582,116266
Folsom,CA,California,78038,78038
Fontana,CA,California,211815,211815
Fountain Valley,CA,California,56313,56313
Fremont,CA,California,234962,234962
Fresno,CA,California,698021,527438
Fullerton,CA,California,140392,140392
Garden Grove,CA,California,174226,174226
Gardena,CA,California,60224,60224
Gilroy,CA,California,116235,57664
Glendale,CA,California,203054,203054
Glendora,CA,California,52445,52445
Hanford,CA,California,92066,56499
Hawthorne,CA,California,87854,87854
Hayward,CA,California,160500,160500
Hemet,CA,California,176892,85160
Hesperia,CA,California,94859,94859
Highland,CA,California,55342,55342
Huntington Beach,CA,California,201874,201874
Huntington Park,CA,California,58822,58822
Indio,CA,California,408097,89793
Inglewood,CA,California,110598,110598
Irvine,CA,California,277453,277453
La Habra,CA,California,62466,62466
La Mesa,CA,California,60021,60021
Laguna Niguel,CA,California,66334,66334
Lake Elsinore,CA,California,66411,66411
Lake Forest,CA,California,84293,84293
Lakewood,CA,California,80967,80967
Lancaster,CA,California,349218,160316
Livermore,CA,California,91030,90295
Lodi,CA,California,72890,65884
Long Beach,CA,California,469450,469450
Los Angeles,CA,California,12815475,3999759
Lynwood,CA,California,71099,71099
Madera,CA,California,83636,65508
Manteca,CA,California,98736,79268
Menifee,CA,California,90595,90595
Merced,CA,California,144117,83081
Milpitas,CA,California,78106,78106
Mission Viejo,CA,California,600474,96016
Modesto,CA,California,381398,214221
Montebello,CA,California,63192,63192
Monterey Park,CA,California,61044,61044
Moreno Valley,CA,California,207226,207226
Mountain View,CA,California,81438,81438
Murrieta,CA,California,483681,113326
Napa,CA,California,87032,79774
National City,CA,California,61363,61363
Newport Beach,CA,California,86160,86160
Norwalk,CA,California,106084,106084
Novato,CA,California,55980,55980
Oakland,CA,California,425195,425195
Oceanside,CA,California,176193,176193
Ontario,CA,California,175841,175841
