usaf,wban,year,month,day,hour,minute,lat,lon,elev,wd,ws,ceil_hgt,temp,dew_point,atmos_pres,rh,time
744860,94789,2010,1,1,0,51,40.655,-73.796,7,NA,0,884,0.6,-0.6,1015.6,91.7,2010-01-01T00:51:00Z
744860,94789,2010,1,1,1,0,40.65,-73.783,7,NA,0,NA,0.6,-0.6,1015.6,91.7,2010-01-01T01:00:00Z
744860,94789,2010,1,1,1,51,40.655,-73.796,7,NA,0,1067,0.6,0,1015.5,95.80000000000001,2010-01-01T01:51:00Z
744860,94789,2010,1,1,2,3,40.655,-73.796,7,NA,0,1067,1,0,NA,93,2010-01-01T02:03:00Z
744860,94789,2010,1,1,2,28,40.655,-73.796,7,NA,0,213,1,0,NA,93,2010-01-01T02:28:00Z
744860,94789,2010,1,1,2,51,40.655,-73.796,7,NA,0,213,0.6,0,1015.3,95.80000000000001,2010-01-01T02:51:00Z
744860,94789,2010,1,1,3,51,40.655,-73.796,7,NA,0,366,0.6,0,1014.7,95.80000000000001,2010-01-01T03:51:00Z
744860,94789,2010,1,1,4,0,40.65,-73.783,7,NA,0,NA,0.6,0,1014.7,95.80000000000001,2010-01-01T04:00:00Z
744860,94789,2010,1,1,4,51,40.655,-73.796,7,NA,0,335,0.6,-0.6,1014.3,91.7,2010-01-01T04:51:00Z
744860,94789,2010,1,1,5,49,40.655,-73.796,7,NA,0,274,1,-1,NA,86.5,2010-01-01T05:49:00Z
744860,94789,2010,1,1,5,51,40.655,-73.796,7,NA,0,274,0.6,-0.6,1014.7,91.7,2010-01-01T05:51:00Z
744860,94789,2010,1,1,6,51,40.655,-73.796,7,NA,0,213,0.6,0,1014.3,95.80000000000001,2010-01-01T06:51:00Z
744860,94789,2010,1,1,7,0,40.65,-73.783,7,NA,0,NA,0.6,0,1014.3,95.80000000000001,2010-01-01T07:00:00Z
744860,94789,2010,1,1,7,19,40.655,-73.796,7,220,1.5,152,1,0,NA,93,2010-01-01T07:19:00Z
744860,94789,2010,1,1,7,49,40.655,-73.796,7,NA,0,152,1,0,NA,93,2010-01-01T07:49:00Z
744860,94789,2010,1,1,7,51,40.655,-73.796,7,270,1.5,152,0.6,0,1014.1,95.80000000000001,2010-01-01T07:51:00Z
744860,94789,2010,1,1,8,38,40.655,-73.796,7,260,2.1,549,1,0,NA,93,2010-01-01T08:38:00Z
744860,94789,2010,1,1,8,49,40.655,-73.796,7,250,1.5,2286,1,0,NA,93,2010-01-01T08:49:00Z
744860,94789,2010,1,1,8,51,40.655,-73.796,7,250,1.5,2286,1.1,0,1013.7,92.4,2010-01-01T08:51:00Z
744860,94789,2010,1,1,9,51,40.655,-73.796,7,250,2.6,2286,1.7,0,1013.5,88.5,2010-01-01T09:51:00Z
744860,94789,2010,1,1,10,0,40.65,-73.783,7,250,2.6,NA,1.7,0,1013.5,88.5,2010-01-01T10:00:00Z
744860,94789,2010,1,1,10,51,40.655,-73.796,7,260,2.1,2134,2.2,0.6,1012.7,89.2,2010-01-01T10:51:00Z
744860,94789,2010,1,1,11,51,40.655,-73.796,7,240,2.1,1981,2.8,0.6,1011.6,85.4,2010-01-01T11:51:00Z
744860,94789,2010,1,1,12,51,40.655,-73.796,7,230,2.6,1981,3.9,1.1,1010.7,82,2010-01-01T12:51:00Z
744860,94789,2010,1,1,13,0,40.65,-73.783,7,230,2.6,NA,3.9,1.1,1010.7,82,2010-01-01T13:00:00Z
744860,94789,2010,1,1,13,51,40.655,-73.796,7,360,4.1,2134,3.9,0,1010.7,75.7,2010-01-01T13:51:00Z
744860,94789,2010,1,1,14,51,40.655,-73.796,7,360,3.1,2134,5,0,1010.3,70.10000000000001,2010-01-01T14:51:00Z
744860,94789,2010,1,1,15,51,40.655,-73.796,7,350,3.1,2286,3.3,0,1010,79,2010-01-01T15:51:00Z
744860,94789,2010,1,1,16,0,40.65,-73.783,7,350,3.1,NA,3.3,0,1010,79,2010-01-01T16:00:00Z
744860,94789,2010,1,1,16,51,40.655,-73.796,7,360,2.6,1097,3.9,0,1010,75.7,2010-01-01T16:51:00Z
744860,94789,2010,1,1,17,51,40.655,-73.796,7,330,2.6,1280,3.3,0,1009.5,79,2010-01-01T17:51:00Z
744860,94789,2010,1,1,18,51,40.655,-73.796,7,330,4.1,1402,4.4,-0.6,1009.2,70,2010-01-01T18:51:00Z
744860,94789,2010,1,1,19,0,40.65,-73.783,7,330,4.1,NA,4.4,-0.6,1009.2,70,2010-01-01T19:00:00Z
744860,94789,2010,1,1,19,51,40.655,-73.796,7,310,4.1,1676,3.9,-1.1,1008.5,69.9,2010-01-01T19:51:00Z
744860,94789,2010,1,1,20,51,40.655,-73.796,7,320,6.2,2134,3.9,-1.1,1007.9,69.9,2010-01-01T20:51:00Z
744860,94789,2010,1,1,21,51,40.655,-73.796,7,320,4.1,2286,3.3,-1.7,1007.2,69.7,2010-01-01T21:51:00Z
744860,94789,2010,1,1,22,0,40.65,-73.783,7,320,4.1,NA,3.3,-1.7,1007.2,69.7,2010-01-01T22:00:00Z
744860,94789,2010,1,1,22,51,40.655,-73.796,7,310,5.7,1128,2.8,-1.7,1006.7,72.3,2010-01-01T22:51:00Z
744860,94789,2010,1,1,23,28,40.655,-73.796,7,320,5.7,884,2,-1,NA,80.5,2010-01-01T23:28:00Z
744860,94789,2010,1,1,23,45,40.655,-73.796,7,310,5.7,701,1,-1,NA,86.5,2010-01-01T23:45:00Z
744860,94789,2010,1,1,23,51,40.655,-73.796,7,310,6.2,701,1.1,-1.1,1006.3,85.30000000000001,2010-01-01T23:51:00Z
744860,94789,2010,1,1,23,59,40.655,-73.796,7,NA,NA,NA,NA,NA,NA,NA,2010-01-01T23:59:00Z
744860,94789,2010,1,2,0,49,40.655,-73.796,7,310,7.7,914,1,-3,NA,74.60000000000001,2010-01-02T00:49:00Z
744860,94789,2010,1,2,0,51,40.655,-73.796,7,310,7.7,914,0.6,-2.8,1005.8,78,2010-01-02T00:51:00Z
744860,94789,2010,1,2,1,0,40.65,-73.783,7,310,7.7,NA,0.6,-2.8,1005.8,78,2010-01-02T01:00:00Z
744860,94789,2010,1,2,1,51,40.655,-73.796,7,320,9.3,914,0,-5,1005.8,69.10000000000001,2010-01-02T01:51:00Z
744860,94789,2010,1,2,2,51,40.655,-73.796,7,310,9.3,1006,-0.6,-5,1005.8,72.10000000000001,2010-01-02T02:51:00Z
744860,94789,2010,1,2,3,51,40.655,-73.796,7,310,10.3,1402,-1.1,-5.6,1005.5,71.5,2010-01-02T03:51:00Z
744860,94789,2010,1,2,4,0,40.65,-73.783,7,310,10.3,NA,-1.1,-5.6,1005.5,71.5,2010-01-02T04:00:00Z
744860,94789,2010,1,2,4,51,40.655,-73.796,7,310,8.8,1402,-1.7,-5.6,1005.2,74.7,2010-01-02T04:51:00Z
