year,population,employed,agriculture,nonagriculture,unemployed
1941,99900000,50350000,9100000,41250000,5560000
1942,98640000,53750000,9250000,44500000,2660000
1943,94640000,54470000,9080000,45390000,1070000
1944,93220000,53960000,8950000,45010000,670000
1945,94090000,52820000,8580000,44240000,1040000
1946,103070000,55250000,8320000,46930000,2270000
1947,106018000,57812000,8256000,49557000,2356000
1947,101827000,57038000,7890000,49148000,2311000
1948,103068000,58343000,7629000,50714000,2276000
1949,103994000,57651000,7658000,49993000,3637000
1950,104995000,58918000,7160000,51758000,3288000
1951,104621000,59961000,6726000,53235000,2055000
1952,105231000,60250000,6500000,53749000,1883000
1953,107056000,61179000,6260000,54919000,1834000
1954,108321000,60109000,6205000,53904000,3532000
1955,109683000,62170000,6450000,55722000,2852000
1957,112265000,64071000,5947000,58123000,2859000
1956,110954000,63799000,6283000,57514000,2750000
1958,113727000,63036000,5586000,57450000,4602000
1959,115329000,64630000,5565000,59065000,3740000
1960,117245000,65778000,5458000,60318000,3852000
1961,118771000,65746000,5200000,60546000,4714000
1962,120153000,66702000,4944000,61759000,3911000
1963,122416000,67762000,4687000,63076000,4070000
1964,124485000,69305000,4523000,64782000,3786000
1965,126513000,71088000,4361000,66726000,3366000
1966,128058000,72895000,3979000,68915000,2875000
1967,129874000,74372000,3844000,70527000,2975000
1968,132028000,75920000,3817000,72103000,2817000
1969,134335000,77902000,3606000,74296000,2832000
1970,137085000,78678000,3463000,75215000,4093000
1971,140216000,79367000,3394000,75972000,5016000
1972,144126000,82153000,3484000,78669000,4882000
1973,147096000,85064000,3470000,81594000,4365000
1974,150120000,86794000,3515000,83279000,5156000
1975,153153000,85846000,3408000,82438000,7929000
1976,156150000,88752000,3331000,85421000,7406000
1977,159033000,92017000,3283000,88734000,6991000
1978,161910000,96048000,3387000,92661000,6202000
1979,164863000,98824000,3347000,95477000,6137000
1980,167745000,99302000,3364000,95938000,7637000
1981,170130000,100397000,3368000,97030000,8273000
1982,172271000,99526000,3401000,96125000,10678000
1983,174215000,100834000,3383000,97450000,10717000
1984,176383000,105005000,3321000,101685000,8539000
1985,178206000,107150000,3179000,103971000,8312000
1986,180587000,109597000,3163000,106434000,8237000
1987,182753000,112440000,3208000,109232000,7425000
1988,184613000,114968000,3169000,111800000,6701000
1989,186393000,117342000,3199000,114142000,6528000
1990,189164000,118793000,3223000,115570000,7047000
1991,190925000,117718000,3269000,114449000,8628000
1992,192805000,118492000,3247000,115245000,9613000
1993,194838000,120259000,3115000,117144000,8940000
1994,196814000,123060000,3409000,119651000,7996000
1995,198584000,124900000,3440000,121460000,7404000
1996,200591000,126708000,3443000,123264000,7236000
1997,203133000,129558000,3399000,126159000,6739000
1998,205220000,131463000,3378000,128085000,6210000
1999,207753000,133488000,3281000,130207000,5880000
2000,212577000,136891000,2464000,134427000,5692000
2001,215092000,136933000,2299000,134635000,6801000
2002,217570000,136485000,2311000,134174000,8378000
2003,221168000,137736000,2275000,135461000,8774000
2004,223357000,139252000,2232000,137020000,8149000
2005,226082000,141730000,2197000,139532000,7591000
2006,228815000,144427000,2206000,142221000,7001000
2007,231867000,146047000,2095000,143952000,7078000
2008,233788000,145362000,2168000,143194000,8924000
2009,235801000,139877000,2103000,137775000,14265000
2010,237830000,139064000,2206000,136858000,14825000
