name,state,pop_2015,pop_2011
Aachen,Nordrhein-Westfalen,245885,236420
Augsburg,Bayern,286374,267767
Bergisch Gladbach,Nordrhein-Westfalen,111366,108878
Berlin,Berlin,3520031,3292365
Bielefeld,Nordrhein-Westfalen,333090,326870
Bochum,Nordrhein-Westfalen,364742,362286
Bonn,Nordrhein-Westfalen,318809,305765
Bottrop,Nordrhein-Westfalen,117143,117311
Braunschweig,Niedersachsen,251364,242537
Bremen,Bremen,557464,542707
Bremerhaven,Bremen,114025,108156
Chemnitz,Sachsen,248645,240253
Darmstadt,Hesse,155353,143499
Dortmund,Nordrhein-Westfalen,586181,571143
Dresden,Sachsen,543825,512354
Duisburg,Nordrhein-Westfalen,491231,488468
Düsseldorf,Nordrhein-Westfalen,612178,586291
Erfurt,Thüringen,210118,200868
Erlangen,Bayern,108336,103719
Essen,Nordrhein-Westfalen,582624,566201
Frankfurt am Main,Hesse,732688,667925
Freiburg,Baden-Württemberg,226393,209628
Fürth,Bayern,124171,115613
Gelsenkirchen,Nordrhein-Westfalen,260368,258766
Göttingen,Niedersachsen,118914,115843
Hagen,Nordrhein-Westfalen,189044,187944
Halle (Saale),Sachsen-Anhalt,236991,229153
Hamburg,Hamburg,1787408,1706696
Hamm,Nordrhein-Westfalen,179397,176037
Hannover,Niedersachsen,532163,506416
Heidelberg,Baden-Württemberg,156267,146751
Heilbronn,Baden-Württemberg,122567,116059
Herne,Nordrhein-Westfalen,155851,155160
Hildesheim,Niedersachsen,101667,99554
Ingolstadt,Bayern,132438,124927
Jena,Thüringen,109527,105739
Karlsruhe,Baden-Württemberg,307755,289173
Kassel,Hesse,197984,190765
Kiel,Schleswig-Holstein,246306,235782
Koblenz,Rheinland-Pfalz,112586,107825
Köln,Nordrhein-Westfalen,1060582,1005775
Krefeld,Nordrhein-Westfalen,225144,222247
Leipzig,Sachsen,560472,502979
Leverkusen,Nordrhein-Westfalen,163487,158984
Lübeck,Schleswig-Holstein,216253,210305
Ludwigshafen am Rhein,Rheinland-Pfalz,164718,157584
Magdeburg,Sachsen-Anhalt,235723,228144
Mainz,Rheinland-Pfalz,209779,200344
Mannheim,Baden-Württemberg,305780,290117
Moers,Nordrhein-Westfalen,104529,104009
Mönchengladbach,Nordrhein-Westfalen,259996,255188
Mülheim an der Ruhr,Nordrhein-Westfalen,169278,166865
Munich,Bayern,1450381,1348335
Münster,Nordrhein-Westfalen,310039,289576
Neuss,Nordrhein-Westfalen,155414,150568
Nürnberg,Bayern,509975,486314
Oberhausen,Nordrhein-Westfalen,210934,210216
Offenbach,Hesse,123734,113443
Oldenburg,Niedersachsen,163830,157267
Osnabrück,Niedersachsen,162403,153699
Paderborn,Nordrhein-Westfalen,148126,142365
Pforzheim,Baden-Württemberg,122247,114411
Potsdam,Brandenburg,167745,156021
Recklinghausen,Nordrhein-Westfalen,114330,115958
Regensburg,Bayern,145465,135403
Remscheid,Nordrhein-Westfalen,109499,110708
Reutlingen,Baden-Württemberg,114310,109799
Rostock,Mecklenburg-Vorpommern,206011,200265
Saarbrücken,Saarland,178151,175853
Salzgitter,Niedersachsen,101079,98895
Siegen,Nordrhein-Westfalen,102355,99187
Solingen,Nordrhein-Westfalen,158726,155265
Stuttgart,Baden-Württemberg,623738,585890
Trier,Rheinland-Pfalz,114914,105671
Ulm,Baden-Württemberg,122636,116761
Wiesbaden,Hesse,276218,269121
Wolfsburg,Niedersachsen,124045,119984
Wuppertal,Nordrhein-Westfalen,350046,342661
Würzburg,Bayern,124873,124297
