age,lemma,produces,kids_n
16,hat,0.3253138075313807,956
16,mittens,0.02615062761506276,956
16,scarf,0.0031380753138075313,956
18,hat,0.5429864253393665,442
18,mittens,0.10407239819004525,442
18,scarf,0.027149321266968326,442
20,hat,0.6751824817518248,274
20,mittens,0.16483516483516483,273
20,scarf,0.0695970695970696,273
22,hat,0.785,200
22,mittens,0.22,200
22,scarf,0.13,200
24,hat,0.855917667238422,583
24,mittens,0.3568965517241379,580
24,scarf,0.1565217391304348,575
26,hat,0.9226519337016574,181
26,mittens,0.4143646408839779,181
26,scarf,0.20994475138121546,181
28,hat,0.9611041405269761,797
28,mittens,0.5457967377666249,797
28,scarf,0.34880803011292344,797
30,hat,0.9491525423728814,295
30,mittens,0.6338983050847458,295
30,scarf,0.423728813559322,295
